name,id,label,description,attribution,USA,type,updatedAt,createdAt,data_updated_at,columns_field_name,columns_description,provenance,,
311 Service Requests for Fiscal Year 2020 - 2021 Street,s3gf-a952,1,"There are over 400 service requests types that are reported in the 311 system that affect the quality of life of our citizens, neighborhoods, and communities. The most popular service requests include but are not limited to animal services requests, high weeds, junk motor vehicles, and a number of other code compliance-related issues. Requests regarding streets and mobility (such as street and pot hole repair) are also common as well as requests to address environmental issues such as water conservation and air quality concerns.

This dataset represents all Service Requests related to service requests regarding streets for the fiscal year time period of October 1, 2020 to September 30, 2021.",Dallas,Y,dataset,2024-12-02T11:15:08.000Z,2020-09-25T15:10:29.000Z,2024-12-02T11:15:08.000Z,"['closed_date', 'service_request_type', 'method_received_desc', 'overall_service_request_due', 'department', 'address', 'service_request_number', 'unique_key', 'updated_date', 'city_council_district', 'created_date', 'status', 'outcome', 'ert_measured_in', 'priority', 'lat_long_value', 'ert_estimated_response_time']","['The date the request was completed and closed', 'The type of service being requested', 'Describes the method the service request was received  (I.E. Phone, Web, Mobile Device, etc.)', 'The date the request the department must have the service request completed by for the request to be on time. Requests completed after this date are considered late.', 'The City Department responsible to responding to the request for service', 'The location where the service will take place', 'Tracking number associated with a service request beginning with the last two digits of the year the service request was created.', 'Internal Key', 'The last date an update was made to the request', 'The number of the City Council District where the service will take place', 'The date the service request was submitted', 'Describes the status of the request for service (I.E. New, In Progress, Closed) ', 'A brief statement describing the outcome of the request for service', 'Defines the increments of time the ERT is measured in (I.E. Hours, Calendar Days, Business Days, Etc.)', 'Describes the priorty of the request (Standard, Urgent, Dispatch, etc.)', ""The numeric value of the location's latitude and longitude coordinates"", 'The estimated amount of time it will take the City Department to begin their investigation/response to the request for service']",official,,s3gf-a952
Aggregated Service Requests,bh6e-ahmc,1,"This dataset shows the number of service requests completed each month by type, and the average number of days it took to complete them. These service requests are aggregated from multiple sources, including 311 service requests, SeeClickFix, and requests created by city users. Where applicable, the service level agreement (SLA) is also shown, as well as the number of service requests completed within the SLA, within two times the SLA, and more than two times the SLA.",City of Memphis,Y,dataset,2024-12-02T10:36:06.000Z,2018-10-15T18:44:42.000Z,2024-12-02T10:36:06.000Z,"['request_type', 'month', 'year', 'sla', 'average', 'rowid', 'month_order', 'more_than_2x_sla', 'less_than_2x_sla', 'closed_in_sla', 'total', 'percent_in_sla', 'closed']","['Type of service request', '', '', 'Goal (in number of days) for the City to close a specific request type. SLA stands for ""Service Level Agreement.""', 'Average number of days to close all requests for a specific request type', '', 'Database tool that assigns a number to each month and allows sorting by month order', 'Number of requests closed more than two times the SLA', 'Number of requests closed within two times the SLA', 'Number of requests closed within the SLA', 'Number of service requests completed each month by type', 'Percent of requests closed within the SLA', 'Month and year in which the service requests were closed ']",official,,bh6e-ahmc
311 Generated Service Requests,5r9g-bwpp,1,This dataset shows the types and number of service requests generated from phone calls to 311.,City of Memphis,Y,dataset,2024-12-02T10:36:00.000Z,2018-10-15T18:51:13.000Z,2024-12-02T10:36:00.000Z,"['month_order', 'rowid', 'request_type', 'month', 'date', 'count', 'department', 'year']","['Month order (1=January, 12=December)', '', 'Request type (acronyms correspond to department: SWM = Solid Waste Management, EMI = Environmental Maintenance, CE = Code Enforcement, etc.)', 'Reporting month', 'Month-Year date (rounded to 1st of the month for each reporting month)', 'Number of 311-generated service requests per department for each reporting month', 'City department', 'Reporting year']",official,,5r9g-bwpp
311 Service Request,4her-3th5,1,"Service Requests received by 311. The following Service Requests have their location randomized: Dog Complaints, Graffiti, Mosquito Complaints, Neighborhood Liveability Complaints, Sewer Backups, and Vacant or Derelict Building Complaints.  The randomization function changes the location to less than 500m in the X and Y directions, and always within the same neighbourhood.  The randomization occurs as a mechanism to ensure privacy for sensitive service requests.",,N,dataset,2024-12-02T10:24:08.000Z,2015-07-22T16:11:25.000Z,2024-12-02T10:24:08.000Z,"['location_1_state', 'service_area', ':@computed_region_66r8_mmhg', 'ward', 'neighbourhood', 'location_1', 'point', 'location_1_city', 'service_request', 'sr_date', ':@computed_region_4h47_8kp6', 'location_1_address', ':@computed_region_38v8_cedi', 'location_1_zip', ':@computed_region_6rfj_69jf']","['', '', ""This column was automatically created in order to record in what polygon from the dataset 'Electoral Ward 2018' (66r8-mmhg) the point in column 'point' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'Electoral Ward', 'Neighbourhood Characterisation Area', '', '', '', '', 'Service Request Date', '', '', '', '', '']",official,,4her-3th5
Service Requests since 2016,hmd4-ddta,1,This dataset contains all service requests that were created since 01-January-2016,City of Memphis,Y,dataset,2024-12-02T08:16:37.000Z,2018-12-12T21:04:52.000Z,2024-12-02T08:16:37.000Z,"['department', 'creation_date', 'collection_day', 'request_status', 'last_update_date', 'incident_type_id', ':@computed_region_gxae_hf64', 'group_name', 'followup_date', 'created_by_user', 'city', 'reported_date', 'sub_district', 'resolution_code_meaning', 'next_open_task_date', 'last_updated_by', 'full_address', 'division', 'close_date', 'category', ':@computed_region_ni4r_4h6x', ':@computed_region_h7zg_xcqb', ':@computed_region_xf2b_u4zq', ':@computed_region_me95_vbw4', 'zone', 'parcel_id', 'incident_number', 'area', 'resolution_summary', 'number_of_tasks', 'address3', 'last_update_login', 'target_block', 'swm_code', 'street_name', 'state', 'sr_creation_channel', 'request_priority', 'map_page', 'last_modified_date', 'incident_resolved_date', 'summary_1', 'created_by', 'mlgw_on', 'mlgw_status', 'location1', 'owner_name', 'postal_code', 'address1', 'ce_category', 'address2', 'resolution_code', 'request_type', 'location_1', 'incident_id', 'district']","['City department responsible for service request (departments fall within divisions)', 'Auto-generated service request creation date (may be after user-reported REPORTED_DATE if person waited to submit request)', 'Scheduled collection day', 'Request status: Open, In Progress, Closed, etc. ', 'Date service request last updated (auto-generated)', 'Incident type ID', '', 'Group responsible for service request (similar to Division/Department)', 'Followup date', 'User who created service request', 'City (Memphis)', 'User-submitted service request report date', 'Council sub-district in which SR incident is located', 'Resolution code meaning', 'Next open task date', '-', 'Full service request address with city, state and zip code', 'City division responsible for service request ', 'Date service request status changed to ""Closed""', 'Incident category', '', '', '', '', '', '-', 'Unique incident number', 'Service request area', 'Summary of incident resolution/actions taken', 'Number of tasks', 'Service request address3', '-', '', 'Solid Waste Management code', 'SR street name', 'SR state (TN)', 'Service request creation channel (phone or web)', 'Request priority: High, Medium, or Low', '-', 'Date service request last modified (user-generated)', 'Date service request status changed to ""Resolved""', '', '-', 'Last date MLGW utility services were turned on', 'MLGW status', '', 'Owner name', 'Service request zip code', 'Service request address', 'Code enforcement category', 'Service request address2', 'Code indicating how the incident was resolved and/or actions taken to address the service request', 'Request type (acronyms correspond to department: SWM = Solid Waste Management, EMI = Environmental Maintenance, CE = Code Enforcement, etc.)', 'Incident location', 'Unique incident ID', 'City council district in which SR incident address is located']",official,,hmd4-ddta
311 OPCD Calls (2012-Present),2jgv-pqrq,1,This dataset represents calls to the Orleans Parish Communications District 311 Call Center and historical calls to the City of New Orleans' 311 Call Center.,New Orleans,Y,dataset,2024-12-02T08:10:08.000Z,2019-01-02T13:59:10.000Z,2024-12-02T08:10:08.000Z,"['rowid', 'final_address', 'case_close_date', 'request_type', 'geocoded_column_state', 'longitude', 'status', 'address_councildis', 'responsible_agency', 'request_reason', 'service_request', 'final_y', 'final_x', 'latitude', 'date_modified', 'date_created', 'contractor_action', 'request_status', 'geocoded_column', 'geocoded_column_city', 'geocoded_column_zip', 'geocoded_column_address', 'contractor', ':@computed_region_u4yh_3wk9', ':@computed_region_evki_aju8', ':@computed_region_sikx_bdeb', ':@computed_region_spev_d8jm', ':@computed_region_7fw3_kdpf', ':@computed_region_m56f_hbma', ':@computed_region_k37d_then', ':@computed_region_ewbu_t8bu']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",official,,2jgv-pqrq
"311 Service, Information, and Feedback Requests",4pyi-uqq6,1,This dataset includes data starting in July 2015. This dataset was updated in November 2023 to include Feedback and Information Requests in addition to Service Requests. Please redownload the data for the most up to date information. This dataset will be updated monthly.,Somerville,Y,dataset,2024-12-02T07:01:02.000Z,2019-12-11T16:57:14.000Z,2024-12-02T07:01:02.000Z,"['ward', 'origin_of_request', 'type_id', 'courtesy', 'ease', 'accuracy', 'classification', 'most_recent_status', 'most_recent_status_date', 'type', 'category', 'id', 'date_created', 'block_code', 'overallexperience']","['Ward associated with the request', 'Platform the request was created on', '', '', '', '', 'Was this a informational, service, or feedback request', 'Current Status of the Request', 'Date this ticket was last updated', 'Request type', 'Category of 311 request', 'Ticket ID', 'Date the request was created', 'Block code the request is associated with', '']",official,,4pyi-uqq6
MC311 Service Requests,xtyh-brr2,1,"Information on all MC311 Service Requests received (via email or phone) since July 1, 2012.  This data is updated daily.
The PIO’s business requirement includes adding the following data elements to the new and enhanced open data site being proposed by DTS.  This data is derived from requests for service which originate in the CSC, from the County’s web portal, and via “walk-ins” from county departments including but not limited to DHCA.
•	SLA – to indicate the number of days in county business days the department has to fulfill the request.  County business days must exclude weekends, county holidays and days when the county is closed due to inclement weather (snow days, etc) per CountyStat’s business requirement.  This field has been published in the existing MC311 Service Requests dataset with the field name ‘Attached Solution SLA Days’.
•	+/- SLA –to indicate the number of days a service request is over or under SLA as is currently measured by CountyStat. The following 4 fields will be added to fulfill this line item
	# of days open – Number of County Business days the Service Request has been opened.
	Within SLA Window? - To indicate the number of days a service request is over or under SLA as is currently measured by CountyStat.
	SLA Yes – Number of days to fulfill the service request  is under the SLA window.
	SLA No -– Number of days to fulfill the service request  is over the SLA window.","Montgomery County, MD Government",Y,dataset,2024-12-02T06:17:27.000Z,2012-08-20T12:14:39.000Z,2024-12-02T06:17:27.000Z,"['number_of_days_open', 'x_mdstatedist', 'x_electiondist', 'sr_subtype_cd', 'faq_ques_text', 'sr_sub_area', 'created', 'within_sla_window', 'x_sla', 'sr_area', 'x_city', 'sr_num', 'sla_yes', 'last_upd', 'x_cong_memb', 'department', 'x_zipcode', 'x_councilmbr', 'x_councildist', 'x_state', 'sr_type', 'sla_no', 'closed', 'x_congdist', 'sr_stat_id']","['Number of County Business days the Service Request has been opened.', 'Maryland State Election District number, where location is available', 'Election District, where location is available', 'Source for receiving the Service Request (examples: Web, Phone)', 'Describes the solution selected to resolve the Service Request', 'Sub-Area in the County Department/Area assigned to resolve the Service Request', 'Date & Time the MC311 Service Request was opened', 'To indicate the number of days a service request is over or under SLA as is currently measured by CountyStat.', 'Service Level Agreement (SLA) for the number of days expected for the attached solution to resolve the Service Request', 'Area in the County Department assigned to resolve the Service Request', 'City location for the Service Request (where available)', 'Service Request ID Number (unique identifier) assigned by the MC311 Call Center', 'Number of days to fulfill the service request  is under the SLA window.', 'Date & Time the MC311 Service Request record was last updated in the system', 'U. S. Congress Member for the location, where location is available', 'Code for the County Department assigned to resolve the Service Request', '5 digit postal Zip Code for the Service Request (where available)', 'Montgomery County Council Member for the location, where location is available', 'Montgomery County Council District, where location is available', 'State location for the Service Request', 'Type of Request - General Information or Service Request Fulfillment', 'Number of days to fulfill the service request  is over the SLA window.', 'Date & Time the MC311 Service Request was closed', 'U. S. Congressional District, where location is available', 'Current status (since the last daily update) of the MC311 Service Request (Closed, In Progress)']",official,,xtyh-brr2
Cincinnati 311 (Non-Emergency) Service Requests,4cjh-bm8b,1,"Data Description: This dataset captures All Cincinnati 311 (Non-Emergency) Service Requests from 2012 to present including how long customer service requests have been open, by location, service request type, and department work group. Citizen Service Requests (CSR) give Cincinnati residents the opportunity to submit service request for concerns like potholes, tall grass and missed trash pick-up. 
 
Data Creation: Using the Fix It Cincy! Mobile App, the customer service request online portal and the hotline (513-591-6000), citizen service requests are routed directly to City departments, including Transportation & Engineering, Buildings & Inspections, Health and Public Services. Once the department's work on the service request ticket is completed and the request is marked as ""closed,"" customers receive an email notification that the work has been completed, followed by a link to an optional customer service feedback survey.

Data Created By: The source of this data is the CAGIS.

Refresh Frequency: This data is updated daily.

CincyInsights: The City of Cincinnati maintains an interactive dashboard portal, CincyInsights in addition to our Open Data in an effort to increase access and usage of city data. This data set has an associated dashboard available here: https://insights.cincinnati-oh.gov/stories/s/ve9a-xare

Data Dictionary: A data dictionary providing definitions of columns and attributes is available as an attachment to this dataset.

Processing: The City of Cincinnati is committed to providing the most granular and accurate data possible. In that pursuit the Office of Performance and Data Analytics  facilitates standard processing to most raw data prior to publication. Processing includes but is not limited: address verification, geocoding, decoding attributes, and addition of administrative areas (i.e. Census, neighborhoods, police districts, etc.).

Data Usage: For directions on downloading and using open data please visit our How-to Guide: https://data.cincinnati-oh.gov/dataset/Open-Data-How-To-Guide/gdr9-g3ad",City of Cincinnati,Y,dataset,2024-12-02T05:13:31.000Z,2015-03-20T14:53:48.000Z,2024-12-02T05:13:31.000Z,"['service_name', 'requested_date', 'updated_date', 'requested_datetime', 'last_table_update', 'longitude', 'latitude', 'zipcode', 'expected_datetime', 'address', 'service_code', 'description', 'status_notes', 'agency_responsible', 'service_notice', 'address_id', 'jurisdiction_id', 'service_request_id', 'status', 'updated_datetime']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",official,,4cjh-bm8b
311 Service Requests from 2010 to Present,erm2-nwe9,1,"<b>NOTE:</b> The 311 dataset is currently showing incorrect values in the ""Agency Name"" column. Please use the ""Agency"" column in the interim while this is being resolved.
<p>
All 311 Service Requests from 2010 to present. This information is automatically updated daily.
</p>",NYC,Y,dataset,2024-12-02T02:32:55.000Z,2011-10-10T05:52:17.000Z,2024-12-02T02:32:55.000Z,"['community_board', 'longitude', ':@computed_region_efsh_h5xi', ':@computed_region_f5dn_yrer', ':@computed_region_yeji_bk3q', ':@computed_region_92fq_4b7q', ':@computed_region_sbqj_enih', ':@computed_region_7mpf_4k6g', 'incident_zip', 'cross_street_1', 'intersection_street_1', 'bridge_highway_direction', 'status', 'borough', 'park_borough', 'taxi_pick_up_location', 'bbl', 'due_date', 'landmark', 'city', 'latitude', 'street_name', 'location_state', 'cross_street_2', 'location_city', 'location_zip', 'facility_type', 'agency_name', 'closed_date', 'taxi_company_borough', 'location', 'location_address', 'address_type', 'created_date', 'bridge_highway_segment', 'road_ramp', 'bridge_highway_name', 'intersection_street_2', 'agency', 'unique_key', 'x_coordinate_state_plane', 'resolution_description', 'descriptor', 'complaint_type', 'open_data_channel_type', 'y_coordinate_state_plane', 'park_facility_name', 'vehicle_type', 'location_type', 'incident_address', 'resolution_action_updated_date']","['Provided by geovalidation.\n', 'Geo based Long of the incident location\n', '', '', '', '', '', ""This column was automatically created in order to record in what polygon from the dataset 'Police Precinct' (7mpf-4k6g) the point in column 'location' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'Incident location zip code, provided by geo validation.\n', 'First Cross street based on the geo validated incident location\n', 'First intersecting street based on geo validated incident location\n', 'If the incident is identified as a Bridge/Highway, the direction where the issue took place would be displayed here.\n', 'Status of SR submitted \n', 'Provided by the submitter and confirmed by geovalidation.\n', 'The borough of incident if it is a Parks Dept facility\n', 'If the incident is identified as a taxi, this field displays the taxi pick up location\n', 'Borough Block and Lot, provided by geovalidation. Parcel number to identify the location of location of buildings and properties in NYC.', 'Date when responding agency is expected to update the SR.  This is based on the Complaint Type and internal Service Level Agreements (SLAs).\n', 'If the incident location is identified as a Landmark the name of the landmark will display here\n', 'City of the incident location provided by geovalidation.\n', 'Geo based Lat of the incident location\n', 'Street name of incident address provided by the submitter\n', '', 'Second Cross Street based on the geo validated incident location\n', '', '', 'If available, this field describes the type of city facility associated to the SR\n', 'Full Agency name of responding City Government Agency', 'Date SR was closed by responding agency\n', 'If the incident is identified as a taxi, this field will display the borough of the taxi company. \n', 'Combination of the geo based lat & long of the incident location\n', '', 'Type of incident location information available.\n', 'Date SR  was created\n', 'Additional information on the section of the Bridge/Highway were the incident took place.\n', 'If the incident location was Bridge/Highway this column differentiates if the issue was on the Road or the Ramp.\n', 'If the incident is identified as a Bridge/Highway, the name will be displayed here.\n', 'Second intersecting street based on geo validated incident location\n', 'Acronym of responding City Government Agency\n', 'Unique identifier of a Service Request (SR) in the open data set\n', 'Geo validated, X coordinate of the incident location. \n', 'Describes the last action taken on the SR by the responding agency.  May describe next or future steps. \n', 'This is  associated to the Complaint Type, and provides further detail on the incident or condition. Descriptor values are dependent on the Complaint Type, and are not always required in SR. \n', 'This is the first level of a hierarchy identifying the topic of the incident or condition. Complaint Type may have a corresponding Descriptor (below) or may stand alone.', 'Indicates how the SR was submitted to 311.  i.e. By Phone, Online, Mobile, Other or Unknown.', 'Geo validated,  Y coordinate of the incident location. \n', 'If the incident location is a Parks Dept facility, the Name of the facility will appear here\n', 'If the incident is a taxi, this field describes the type of TLC vehicle. \n', 'Describes the type of location used in the address information \n', 'House number of incident address provided by submitter.\n', 'Date when responding agency last updated the SR.\n']",official,,erm2-nwe9
311 Call Center Inquiry,wewp-mm3p,1,"<b>Please note: Due to pandemic call handling modifications, the activity data since March 2020 does not fully represent the agent-handled calls to 311. The actual calls handled are higher.</b>

The 311 Call Center Inquiry dataset contains information on all agent-handled calls to the City’s 311 information line, including date, time and topic.

Click <a href=""https://data.cityofnewyork.us/api/views/wewp-mm3p/files/5ec79733-6c0b-4f84-b511-936142db396e?download=true&filename=Call%20Center%20Inquiry%20Data%20Dictionary.xlsx"">here </a>for the data dictionary.",NYC,Y,dataset,2024-12-02T02:03:45.000Z,2016-05-12T22:58:27.000Z,2024-12-02T02:03:45.000Z,"['date_time', 'brief_description', 'agency', 'date', 'unique_id', 'inquiry_name', 'agency_name', 'time', 'call_resolution']","['', 'Brief description of the topic.', 'Agency associated with the specific topic', '', '', ""Topic the call center representative used to resolve the customer's inquiry"", '', 'Time the call was received.', 'How the call ended/was resolved.']",official,,wewp-mm3p
311 Requests,q7ua-agfg,1,"Listing of all requests raised to 311, details of each call/transaction and update on the status.

This is anonymized data intended for reporting on trends; if you have a specific reference number for which you would like to check the status, please see the ""check your status"" search box at https://www.edmonton.ca/programs_services/311-city-services.

Due to the volume of data, this dataset contains 311 requests created within the current calendar year and the previous two calendar years.  In January of a given year it will contain 2 years and 1 month of requests; in December of that year it will contain 3 years of requests. For historical data please search for ""311 Requests (YEAR)"" where ""YEAR"" is a year value, e.g. 2018. These will exist for years that no longer exist in this dataset, i.e. ""current year minus three"" will be the greatest year value that has its own single-year dataset.",City of Edmonton,N,dataset,2024-12-01T09:18:30.000Z,2017-11-03T19:41:58.000Z,2024-12-01T09:18:30.000Z,"['ward_location', 'ward_longitude', 'nbhd_location', 'nbhd_longitude', 'nbhd_latitude', 'service_area_service_category', 'service_category_service_area', 'ward', 'neighbourhood', 'referral_type', 'service_description', 'service_category', 'date_created', 'service_area_service_description', 'date_closed', 'nbhd_location_state', 'month', 'month_number', 'ward_latitude', 'row_id', 'ward_location_city', 'count', 'nbhd_location_city', 'ward_location_address', 'status_detail', 'neighbourhood_id', 'year', 'nbhd_location_address', 'request_status', 'ward_location_state', 'service_area', 'interaction_channel', 'ward_location_zip', 'nbhd_location_zip']","['The combination of latitude/longitude for the centroid of the Ward used for mapping purposes.', 'The longitude value for the centroid of the Ward', 'The combination of latitude/longitude for the centroid of the Neighbourhood used for mapping purposes.', 'The longitude value for the centroid of the Neighbourhood', 'The latitude value for the centroid of the Neighbourbhood', 'A combination of Service Area and Service Category so visualizations can be created', 'A combination of Service Category and Service Area so visualizations can be created', 'A unique number give to a geographical area representing a electoral area', 'The name given to a Neighbourhood', 'The action associated with  how the request was handled either information provided or transferred to a business area. ', 'Provides a general description of the service request. ', 'The type of action or service request.', 'The date the service request ticket was created ', 'A combination of Service Area and Service Description so visualizations can be created', 'The date the appropriate City department has investigated the concern and identified steps to resolve your request. Action for resolving the issue may be dependent on priority and weather conditions or your issue has been closed due to lack of information including contact details.', '', 'The Month in which the 311 ticket was created.', 'The numeric Month in which the 311 ticket was created.', 'The latitude value for the centroid of the Ward', 'System generated value for each 311 request created in the system', '', 'A field created to do a sum function for charting purposes (Note: having this would be equivalent to doing a row count).', '', '', 'Certain request types may include additional details describing the progress or action associated with the request. The state of progress the request is at. ', 'Unique number identifier given to Neighbourhoods throughout Edmonton', 'The Year in which the 311 ticket was created.', '', 'The stage at which your request is at, Open or Closed. ', '', 'The business area that is responsible for the service. ', 'The channel or method in which the request was initiated', '', '']",official,,q7ua-agfg
Prince George's County 311,2ywx-ipcd,1,A complete listing of non-emergency 311 service requests for Prince George's County.,PGC OIT,N,dataset,2024-11-20T14:37:38.000Z,2024-10-03T19:31:32.000Z,2024-11-20T14:37:38.000Z,"['date_request_opened', 'agency_responsible', 'request_status', 'location', 'latitude', 'longitude', 'service_request', 'service_group', 'request_name', 'street_address', 'zipcode', 'city']","['', '', '', '', '', '', '', '', '', '', '', '']",official,,2ywx-ipcd
"311 Service Requests October 1, 2020 to Present",d7e7-envw,1,"There are over 400 service requests types that are reported in the 311 system that affect the quality of life of our citizens, neighborhoods, and communities. The most popular service requests include but are not limited to animal services requests, high weeds, junk motor vehicles, and a number of other code compliance-related issues. Requests regarding streets and mobility (such as street and pot hole repair) are also common as well as requests to address environmental issues such as water conservation and air quality concerns.

This dataset represents all Service Requests created for the fiscal year time period of October 1, 2020 to present.",311 Customer Service,N,dataset,2024-10-29T13:07:56.000Z,2020-09-18T19:33:02.000Z,2024-10-29T13:07:56.000Z,"['outcome', 'update_date', 'ert_estimated_response_time', 'address', 'created_date', 'overall_service_request_due_date', 'service_request_type', 'department', 'unique_key', 'status', 'city_council_district', 'method_received_description', 'priority', 'lat_location', 'closed_date', 'service_request_number']","['A brief statement describing the outcome of the request for service', 'The last date an update was made to the request', 'The estimated amount of time it will take the City Department to begin their investigation/response to the request for service', 'The location where the service will take place', 'The date the service request was submitted', ' The date the request the department must have the service request completed by for the request to be on time. Requests completed after this date are considered late.', 'The type of service being requested', 'The City Department responsible to responding to the request for service', 'Internal Key', 'Describes the status of the request for service (I.E. New, In Progress, Closed) ', 'The number of the City Council District where the service will take place', 'Describes the method the service request was received  (I.E. Phone, Web, Mobile Device, etc.)', 'Describes the priorty of the request (Standard, Urgent, Dispatch, etc.)', ""The numeric value of the location's latitude and longitude coordinates"", 'The date the request was completed and closed', ' Tracking number associated with a service request beginning with the last two digits of the year the service request was created.']",official,,d7e7-envw
County Click 311 - Motorola,8nyi-qgn7,1,A complete listing of non-emergency 311 service requests for Prince George's County since August 2016. This dataset is scheduled to update daily.,Motorola/PGC OIT,N,dataset,2024-10-15T13:00:13.000Z,2017-03-17T21:04:19.000Z,2024-10-15T13:00:13.000Z,"['request_status', 'location_address', 'latitude', 'location_city', 'service_group', 'service_request', 'agency_responsible', 'longitude', 'street_address', 'date_request_opened', 'request_name', 'tni_area_description', 'location_zip', ':@computed_region_87xh_ddyp', 'location_state', 'location', 'sla']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",official,,8nyi-qgn7
St. Petersburg Service Center Data,qdms-3kn3,1,"This dataset is updated daily and contains a log of citizen requests to the St Pete Service Center dating back to June 2014. These records describe requests for assistance with City services or reported problems, such as potholes, graffiti, broken sidewalks, storm drain issues, traffic signal/sign problems, special pick-up of dumped items, codes violations, etc.

This data is used to power the city's St Pete Stat application at statmap.stpete.org. Visit this site to see maps and stats about the City's closure rates for St Pete Service Center tickets, or search tickets in your neighborhood.

Citizens submit requests for service through St. Pete's See Click Fix application. See https://www.stpete.org/service_center/index.php for more information.",St Petersburg,Y,dataset,2024-08-16T09:23:04.000Z,2016-04-28T13:08:14.000Z,2024-08-16T09:23:04.000Z,"['ticket_created_date_time', 'lng', 'lat', 'issue_description', 'day_closed', 'day_created', 'hours_to_acknowledge', 'secondary_issue_type', 'issue_type', 'day_updated', 'ticket_last_updated_date_time', 'state', 'location_zip', 'location_city', 'zip_code', 'neighborhood_district', 'days_open', 'location_state', 'city', 'location_address', 'day_acknowledged', 'street_address', 'ticket_status', 'location', 'ticket_closed_date_time', 'ticket_id', ':@computed_region_hxqd_3hkk', ':@computed_region_hmnq_7ac9', ':@computed_region_ua35_kzh4', ':@computed_region_8vjn_ippw', ':@computed_region_grk8_e8ip', ':@computed_region_rgb2_g8nz', ':@computed_region_i8d9_b6mz', ':@computed_region_t9b9_3nyv', ':@computed_region_5enq_rt25', ':@computed_region_8nrd_7xbz', ':@computed_region_nqsz_z74w', ':@computed_region_5xuv_jweh', ':@computed_region_wifj_7igh', ':@computed_region_m6mj_3xda', ':@computed_region_c7g9_amwp', ':@computed_region_hvtz_dfxq', ':@computed_region_b9g7_9xcx', ':@computed_region_nq98_q63y', ':@computed_region_qcp9_8m35', ':@computed_region_4fq9_q4gq', ':@computed_region_cc7w_3bap', ':@computed_region_begu_5bij', ':@computed_region_4yrn_6hem', ':@computed_region_nwvq_vxk9', ':@computed_region_igyx_wxip', 'seeclickfix', 'image']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'URL to issue on SeeClickFix', '']",official,,qdms-3kn3
311 Service Requests (myGNV),78uv-94ar,1,"Non-emergency requests like pothole repairs or damaged street signs can be reported through the Web: www.myGNV.org or app.

iPhone Users: https://apps.apple.com/us/app/mygnv/id1011272233
Android Users: https://play.google.com/store/apps/details?id=com.citysourced.gainesvillefl
or online (http://www.cityofgainesville.org/openGNV/311GNV.aspx).
***Disclaimer: The data reflected on this page is through 06/18/2021. We have updated our MyGNV app. We are working to get the data uploaded from the new platform. We appreciate your patience",City of Gainesville - Administrative Services,Y,dataset,2023-07-12T15:06:15.000Z,2016-04-26T16:29:42.000Z,2023-07-12T15:06:15.000Z,"[':@computed_region_qsqf_gz5q', ':@computed_region_4rat_gsiv', ':@computed_region_u9vc_vmbc', ':@computed_region_ndi2_bfht', ':@computed_region_axii_i744', ':@computed_region_43jd_v64e', 'location_detail', 'latitude', 'longitude', 'created', 'location', 'commission_district', 'last_updated', 'acknowledged', 'reopened', 'closed', 'minutes_to_acknowledge', 'days_to_close', 'request_type', 'description', 'status', 'assigned_to', 'reporter_display', 'reported_using_mobile', 'police_sector', ':@computed_region_9cfm_spy5', 'minutes_to_close', 'id']","['', '', '', '', '', '', 'The address of the issue (manually input by the requester)', '', '', 'The date and time the service request was made', '', '', 'The date and time of the last update made to the service request', 'The date and time of when the service request was acknowledged by staff through the online 311 system', 'The date and time of when the service request was reopened by the requester ', 'The date and time of when the service request was ""closed"" by staff. This reflects whether the request was moved into a work order to solve the issue or if the ticket was resolved with the requester', 'The amount of time (in minutes) to acknowledge the open request with a message through the online 311 system', '', '', 'Detailed description of the service request', 'Status of the request. \nOPEN:  The request has been sent\nACKNOWLEDGED: Staff has acknowledged that the request has been opened.\nCLOSED: The service request has either been made into a work order to fix the problem or the request has been resolved with the requester. \nREOPENED: The request has been reopened by the requester for further investigation', 'The department or office the request has been assigned to', 'The chosen display name for those reporting. May be a user name (logged in an using their user name to report), anonymous (logged in but choosing to stay anonymous) or guest (not signed in)', 'If the issue was reported through a mobile device', '', '', 'The amount of time (in minutes) to resolve the  request with a message through the online 311 system', 'The unique identification number for each open service request']",official,,78uv-94ar
311 Call Centre,hk5h-uv5k,1,This dataset contains the daily 311 call center activity,The City of Calgary,N,dataset,2023-02-01T15:39:18.000Z,2016-05-31T22:28:39.000Z,2022-12-08T21:10:07.000Z,"['delaycallsproduct', 'id', 'max_ans_delay', 'abandoned', 'avg_ans_delay_seconds', 'avg_ans_delay', 'date', 'offered', 'application', 'answered']","['', '', '', '', '', '', '', '', '', '']",official,,hk5h-uv5k
